"","Buggy","Free"
"3346",0.236,0.764
"3347",0.302,0.698
"3348",0.182,0.818
"3349",0,1
"3350",0.158,0.842
"3351",0.268,0.732
"3352",0.02,0.98
"3353",0.9,0.1
"3354",0,1
"3355",0.024,0.976
"3356",0.03,0.97
"3357",0.228,0.772
"3358",0.204,0.796
"3359",0.08,0.92
"3360",0,1
"3361",0.134,0.866
"3362",0.452,0.548
"3363",0.092,0.908
"3364",0.082,0.918
"3365",0.29,0.71
"3366",0.01,0.99
"3367",0.146,0.854
"3368",0.08,0.92
"3369",0.112,0.888
"3370",0.25,0.75
"3371",0.438,0.562
"3372",0.322,0.678
"3373",0.12,0.88
"3374",0.116,0.884
"3375",0.022,0.978
"3376",0.444,0.556
"3377",0.652,0.348
"3378",0.224,0.776
"3379",0.512,0.488
"3380",0.1,0.9
"3381",0,1
"3382",0.072,0.928
"3383",0.506,0.494
"3384",0.086,0.914
"3385",0.022,0.978
"3386",0.582,0.418
"3387",0.192,0.808
"3388",0.394,0.606
"3389",0,1
"3390",0.37,0.63
"3391",0.07,0.93
"3392",0.04,0.96
"3393",0.182,0.818
"3394",0.324,0.676
"3395",0.252,0.748
"3396",0,1
"3397",0.11,0.89
"3398",0.052,0.948
"3399",0.164,0.836
"3400",0.67,0.33
"3401",0.744,0.256
"3402",0.654,0.346
"3403",0.018,0.982
"3404",0.63,0.37
"3405",0.034,0.966
"3406",0.652,0.348
"3407",0,1
"3408",0,1
"3409",0.166,0.834
"3410",0.042,0.958
"3411",0.198,0.802
"3412",0.516,0.484
"3413",0,1
"3414",0.014,0.986
"3415",0.004,0.996
"3416",0.048,0.952
"3417",0.018,0.982
"3418",0.462,0.538
"3419",0.408,0.592
"3420",0.098,0.902
"3421",0.214,0.786
"3422",0.674,0.326
"3423",0.11,0.89
"3424",0.238,0.762
"3425",0.018,0.982
"3426",0.034,0.966
"3427",0.148,0.852
"3428",0.232,0.768
"3429",0.648,0.352
"3430",0.002,0.998
"3431",0.102,0.898
"3432",0.002,0.998
"3433",0.52,0.48
"3434",0.128,0.872
"3435",0.554,0.446
"3436",0.004,0.996
"3437",0.234,0.766
"3438",0.592,0.408
"3439",0.104,0.896
"3440",0.432,0.568
"3441",0.05,0.95
"3442",0,1
"3443",0.05,0.95
"3444",0.304,0.696
"3445",0.436,0.564
"3446",0.002,0.998
"3447",0.464,0.536
"3448",0,1
"3449",0,1
"3450",0,1
"3451",0.07,0.93
"3452",0.044,0.956
"3453",0.002,0.998
"3454",0.408,0.592
"3455",0.036,0.964
"3456",0.02,0.98
"3457",0.8,0.2
"3458",0.814,0.186
"3459",0.054,0.946
"3460",0.052,0.948
"3461",0.128,0.872
"3462",0.136,0.864
"3463",0.482,0.518
"3464",0.052,0.948
"3465",0.174,0.826
"3466",0.082,0.918
"3467",0.368,0.632
"3468",0.268,0.732
"3469",0.05,0.95
"3470",0.458,0.542
"3471",0.036,0.964
"3472",0.108,0.892
"3473",0.174,0.826
"3474",0.014,0.986
"3475",0.008,0.992
"3476",0.044,0.956
"3477",0.002,0.998
"3478",0.612,0.388
"3479",0,1
"3480",0,1
"3481",0.146,0.854
"3482",0.122,0.878
"3483",0.008,0.992
"3484",0.044,0.956
"3485",0.04,0.96
"3486",0.052,0.948
"3487",0.078,0.922
"3488",0,1
"3489",0.87,0.13
"3490",0.08,0.92
"3491",0.17,0.83
"3492",0.004,0.996
"3493",0.504,0.496
"3494",0.07,0.93
"3495",0.016,0.984
"3496",0.712,0.288
"3497",0.032,0.968
"3498",0.022,0.978
"3499",0.06,0.94
"3500",0.194,0.806
"3501",0.034,0.966
"3502",0.146,0.854
"3503",0.074,0.926
"3504",0.168,0.832
"3505",0.63,0.37
"3506",0.574,0.426
"3507",0.12,0.88
"3508",0.088,0.912
"3509",0.038,0.962
"3510",0.12,0.88
"3511",0.216,0.784
"3512",0.212,0.788
"3513",0.352,0.648
"3514",0.04,0.96
"3515",0.022,0.978
"3516",0.01,0.99
"3517",0.078,0.922
"3518",0.626,0.374
"3519",0.148,0.852
"3520",0.068,0.932
"3521",0.004,0.996
"3522",0.022,0.978
"3523",0.062,0.938
"3524",0.336,0.664
"3525",0.68,0.32
"3526",0.014,0.986
"3527",0.344,0.656
"3528",0.098,0.902
"3529",0.282,0.718
"3530",0.59,0.41
"3531",0.034,0.966
"3532",0.046,0.954
"3533",0.536,0.464
"3534",0.12,0.88
"3535",0,1
"3536",0.71,0.29
"3537",0.104,0.896
"3538",0.086,0.914
"3539",0.036,0.964
"3540",0.212,0.788
"3541",0.016,0.984
"3542",0.028,0.972
"3543",0.05,0.95
"3544",0,1
"3545",0,1
"3546",0.132,0.868
"3547",0.67,0.33
"3548",0.002,0.998
"3549",0.588,0.412
"3550",0.416,0.584
"3551",0.558,0.442
"3552",0.012,0.988
"3553",0.132,0.868
"3554",0,1
"3555",0.054,0.946
"3556",0.806,0.194
"3557",0.322,0.678
"3558",0.686,0.314
"3559",0.102,0.898
"3560",0.722,0.278
"3561",0.09,0.91
"3562",0.054,0.946
"3563",0.128,0.872
"3564",0,1
"3565",0.122,0.878
"3566",0.078,0.922
"3567",0.342,0.658
"3568",0.012,0.988
"3569",0,1
"3570",0.03,0.97
"3571",0.478,0.522
"3572",0.036,0.964
"3573",0.448,0.552
"3574",0.124,0.876
"3575",0.01,0.99
"3576",0.028,0.972
"3577",0.1,0.9
"3578",0.284,0.716
"3579",0.55,0.45
"3580",0.312,0.688
"3581",0.286,0.714
"3582",0.694,0.306
"3583",0.084,0.916
"3584",0.008,0.992
"3585",0.38,0.62
"3586",0.22,0.78
"3587",0.574,0.426
"3588",0.142,0.858
"3589",0.452,0.548
"3590",0.08,0.92
"3591",0.008,0.992
"3592",0.134,0.866
"3593",0.126,0.874
"3594",0.008,0.992
"3595",0.656,0.344
"3596",0.432,0.568
"3597",0.528,0.472
"3598",0.004,0.996
"3599",0.786,0.214
"3600",0.752,0.248
"3601",0.048,0.952
"3602",0.012,0.988
"3603",0.064,0.936
"3604",0.064,0.936
"3605",0.732,0.268
"3606",0.358,0.642
"3607",0.202,0.798
"3608",0.092,0.908
"3609",0.646,0.354
"3610",0.112,0.888
"3611",0.126,0.874
"3612",0.15,0.85
"3613",0.18,0.82
"3614",0.008,0.992
"3615",0.026,0.974
"3616",0.038,0.962
"3617",0.078,0.922
"3618",0.108,0.892
"3619",0.006,0.994
"3620",0.042,0.958
"3621",0.182,0.818
"3622",0.106,0.894
"3623",0.09,0.91
"3624",0.714,0.286
"3625",0.754,0.246
"3626",0.076,0.924
"3627",0.472,0.528
"3628",0.006,0.994
"3629",0.03,0.97
"3630",0.06,0.94
"3631",0.086,0.914
"3632",0.502,0.498
"3633",0,1
"3634",0,1
"3635",0.05,0.95
"3636",0.522,0.478
"3637",0.084,0.916
"3638",0.05,0.95
"3639",0.404,0.596
"3640",0.12,0.88
"3641",0.008,0.992
"3642",0.13,0.87
"3643",0.042,0.958
"3644",0.36,0.64
"3645",0.43,0.57
"3646",0,1
"3647",0.25,0.75
"3648",0.192,0.808
"3649",0.442,0.558
"3650",0.048,0.952
"3651",0.088,0.912
"3652",0.07,0.93
"3653",0.284,0.716
"3654",0.01,0.99
"3655",0.022,0.978
"3656",0.726,0.274
"3657",0.2,0.8
"3658",0.146,0.854
"3659",0.184,0.816
"3660",0.172,0.828
"3661",0.008,0.992
"3662",0.372,0.628
"3663",0.004,0.996
"3664",0.312,0.688
"3665",0.686,0.314
"3666",0.12,0.88
"3667",0.098,0.902
"3668",0.698,0.302
"3669",0.67,0.33
"3670",0.272,0.728
"3671",0.484,0.516
"3672",0.076,0.924
"3673",0.432,0.568
"3674",0.226,0.774
"3675",0.222,0.778
"3676",0.006,0.994
"3677",0.434,0.566
"3678",0.046,0.954
"3679",0.872,0.128
"3680",0.006,0.994
"3681",0.06,0.94
"3682",0.084,0.916
"3683",0.572,0.428
"3684",0.01,0.99
"3685",0,1
"3686",0.114,0.886
"3687",0,1
"3688",0.692,0.308
"3689",0.588,0.412
"3690",0.018,0.982
"3691",0.518,0.482
"3692",0.3,0.7
"3693",0.754,0.246
"3694",0.08,0.92
"3695",0.328,0.672
"3696",0.066,0.934
"3697",0.396,0.604
"3698",0.03,0.97
"3699",0.6,0.4
"3700",0.008,0.992
"3701",0.062,0.938
"3702",0.052,0.948
"3703",0.028,0.972
"3704",0.068,0.932
"3705",0.418,0.582
"3706",0.024,0.976
"3707",0.008,0.992
"3708",0.108,0.892
"3709",0.076,0.924
"3710",0.48,0.52
"3711",0.024,0.976
"3712",0.282,0.718
"3713",0.038,0.962
"3714",0.546,0.454
"3715",0.116,0.884
"3716",0.01,0.99
"3717",0.002,0.998
"3718",0.198,0.802
"3719",0.436,0.564
"3720",0.11,0.89
"3721",0.12,0.88
"3722",0.1,0.9
"3723",0.092,0.908
"3724",0.11,0.89
"3725",0.678,0.322
"3726",0.374,0.626
"3727",0.482,0.518
"3728",0.018,0.982
"3729",0,1
"3730",0.142,0.858
"3731",0.188,0.812
"3732",0.052,0.948
"3733",0.72,0.28
"3734",0.27,0.73
"3735",0.544,0.456
"3736",0.024,0.976
"3737",0.02,0.98
"3738",0.024,0.976
"3739",0.308,0.692
"3740",0.208,0.792
"3741",0.04,0.96
"3742",0.034,0.966
"3743",0.222,0.778
"3744",0.016,0.984
"3745",0,1
"3746",0.448,0.552
"3747",0.27,0.73
"3748",0.196,0.804
"3749",0.054,0.946
"3750",0.338,0.662
"3751",0.022,0.978
"3752",0.056,0.944
"3753",0,1
"3754",0.5,0.5
"3755",0.08,0.92
"3756",0.1,0.9
"3757",0.828,0.172
"3758",0.044,0.956
"3759",0.13,0.87
"3760",0.314,0.686
"3761",0.03,0.97
"3762",0.17,0.83
"3763",0.192,0.808
"3764",0.04,0.96
"3765",0.012,0.988
"3766",0,1
"3767",0.334,0.666
"3768",0.014,0.986
"3769",0.03,0.97
"3770",0.036,0.964
"3771",0.012,0.988
"3772",0.862,0.138
"3773",0.038,0.962
"3774",0.01,0.99
"3775",0.004,0.996
"3776",0.242,0.758
"3777",0.81,0.19
"3778",0.174,0.826
"3779",0.116,0.884
"3780",0.136,0.864
"3781",0.028,0.972
"3782",0.344,0.656
"3783",0.03,0.97
"3784",0.094,0.906
"3785",0.204,0.796
"3786",0.004,0.996
"3787",0.114,0.886
"3788",0.294,0.706
"3789",0.03,0.97
"3790",0.038,0.962
"3791",0.33,0.67
"3792",0.02,0.98
"3793",0.122,0.878
"3794",0.078,0.922
"3795",0.038,0.962
"3796",0.522,0.478
"3797",0.024,0.976
"3798",0.036,0.964
"3799",0.012,0.988
"3800",0.022,0.978
"3801",0.372,0.628
"3802",0.086,0.914
"3803",0.078,0.922
"3804",0,1
"3805",0.122,0.878
"3806",0.016,0.984
"3807",0.052,0.948
"3808",0.088,0.912
"3809",0.106,0.894
"3810",0.842,0.158
"3811",0.032,0.968
"3812",0.456,0.544
"3813",0.354,0.646
"3814",0.29,0.71
"3815",0.006,0.994
"3816",0.068,0.932
"3817",0.084,0.916
"3818",0.534,0.466
"3819",0.068,0.932
"3820",0.106,0.894
"3821",0.078,0.922
"3822",0.112,0.888
"3823",0.012,0.988
"3824",0.324,0.676
"3825",0.008,0.992
"3826",0.5,0.5
"3827",0.006,0.994
"3828",0.15,0.85
"3829",0.018,0.982
"3830",0.082,0.918
"3831",0.026,0.974
"3832",0.09,0.91
"3833",0.004,0.996
"3834",0.008,0.992
"3835",0.068,0.932
"3836",0.12,0.88
"3837",0.056,0.944
"3838",0.452,0.548
"3839",0.704,0.296
"3840",0.004,0.996
"3841",0.05,0.95
"3842",0.14,0.86
"3843",0.076,0.924
"3844",0.116,0.884
"3845",0.466,0.534
"3846",0.166,0.834
"3847",0.39,0.61
"3848",0.04,0.96
"3849",0.016,0.984
"3850",0.078,0.922
"3851",0.194,0.806
"3852",0.156,0.844
"3853",0.02,0.98
"3854",0.03,0.97
"3855",0.052,0.948
"3856",0.446,0.554
"3857",0.048,0.952
"3858",0.052,0.948
"3859",0.048,0.952
"3860",0.004,0.996
"3861",0.066,0.934
"3862",0.314,0.686
"3863",0,1
"3864",0.89,0.11
"3865",0.378,0.622
"3866",0.194,0.806
"3867",0.024,0.976
"3868",0.25,0.75
"3869",0,1
"3870",0.094,0.906
"3871",0.42,0.58
"3872",0.016,0.984
"3873",0.06,0.94
"3874",0.032,0.968
"3875",0.024,0.976
"3876",0.542,0.458
"3877",0.09,0.91
"3878",0.048,0.952
"3879",0.022,0.978
"3880",0.004,0.996
"3881",0.1,0.9
"3882",0.01,0.99
"3883",0.126,0.874
"3884",0.058,0.942
"3885",0.03,0.97
"3886",0.01,0.99
"3887",0.18,0.82
"3888",0,1
"3889",0.166,0.834
"3890",0.558,0.442
"3891",0.096,0.904
"3892",0.064,0.936
"3893",0.624,0.376
"3894",0.374,0.626
"3895",0.012,0.988
"3896",0.798,0.202
"3897",0.096,0.904
"3898",0.042,0.958
"3899",0.024,0.976
"3900",0.752,0.248
"3901",0,1
"3902",0.312,0.688
"3903",0.102,0.898
"3904",0.042,0.958
"3905",0.022,0.978
"3906",0.006,0.994
"3907",0.04,0.96
"3908",0.402,0.598
"3909",0.5,0.5
"3910",0.094,0.906
"3911",0.008,0.992
"3912",0,1
"3913",0.44,0.56
"3914",0.126,0.874
"3915",0.046,0.954
"3916",0.038,0.962
"3917",0.002,0.998
"3918",0.568,0.432
"3919",0.184,0.816
"3920",0.406,0.594
"3921",0.108,0.892
"3922",0.022,0.978
"3923",0.044,0.956
"3924",0.046,0.954
"3925",0.002,0.998
"3926",0.016,0.984
"3927",0,1
"3928",0.286,0.714
"3929",0.082,0.918
"3930",0.262,0.738
"3931",0,1
"3932",0.07,0.93
"3933",0.628,0.372
"3934",0.112,0.888
"3935",0.792,0.208
"3936",0.044,0.956
"3937",0.08,0.92
"3938",0.024,0.976
"3939",0.32,0.68
"3940",0,1
"3941",0.026,0.974
"3942",0.534,0.466
"3943",0.098,0.902
"3944",0.44,0.56
"3945",0.1,0.9
"3946",0.004,0.996
"3947",0,1
"3948",0.094,0.906
"3949",0.134,0.866
"3950",0.1,0.9
"3951",0.33,0.67
"3952",0.134,0.866
"3953",0.122,0.878
"3954",0.032,0.968
"3955",0.026,0.974
"3956",0.164,0.836
"3957",0.326,0.674
"3958",0,1
"3959",0.254,0.746
"3960",0.286,0.714
"3961",0.06,0.94
"3962",0.094,0.906
"3963",0.354,0.646
"3964",0.518,0.482
"3965",0.588,0.412
"3966",0.004,0.996
"3967",0.258,0.742
"3968",0.162,0.838
"3969",0.09,0.91
"3970",0.59,0.41
"3971",0.854,0.146
"3972",0.064,0.936
"3973",0.382,0.618
"3974",0.038,0.962
"3975",0.174,0.826
"3976",0.1,0.9
"3977",0.316,0.684
"3978",0.26,0.74
"3979",0.052,0.948
"3980",0.004,0.996
"3981",0.004,0.996
"3982",0.334,0.666
"3983",0.726,0.274
"3984",0.026,0.974
"3985",0.342,0.658
"3986",0.116,0.884
"3987",0.068,0.932
"3988",0.04,0.96
"3989",0.432,0.568
"3990",0.006,0.994
"3991",0.094,0.906
"3992",0.002,0.998
"3993",0.598,0.402
"3994",0.056,0.944
"3995",0.772,0.228
"3996",0,1
"3997",0.044,0.956
"3998",0.054,0.946
"3999",0.11,0.89
"4000",0.088,0.912
"4001",0.774,0.226
"4002",0.05,0.95
"4003",0.098,0.902
"4004",0.03,0.97
"4005",0.028,0.972
"4006",0.156,0.844
"4007",0.736,0.264
"4008",0.16,0.84
"4009",0.704,0.296
"4010",0.002,0.998
"4011",0.02,0.98
"4012",0.172,0.828
"4013",0.064,0.936
"4014",0.028,0.972
"4015",0.022,0.978
"4016",0.394,0.606
"4017",0.038,0.962
"4018",0.03,0.97
"4019",0.42,0.58
"4020",0.018,0.982
"4021",0.196,0.804
"4022",0.028,0.972
"4023",0.292,0.708
"4024",0.078,0.922
"4025",0.066,0.934
"4026",0.09,0.91
"4027",0.048,0.952
"4028",0.38,0.62
"4029",0.096,0.904
"4030",0.6,0.4
"4031",0.006,0.994
"4032",0.078,0.922
"4033",0.01,0.99
"4034",0.016,0.984
"4035",0.034,0.966
"4036",0.048,0.952
"4037",0.002,0.998
"4038",0.492,0.508
"4039",0,1
"4040",0.604,0.396
"4041",0.614,0.386
"4042",0.224,0.776
"4043",0.502,0.498
"4044",0.54,0.46
"4045",0.026,0.974
"4046",0.25,0.75
"4047",0.036,0.964
"4048",0.554,0.446
"4049",0.038,0.962
"4050",0.002,0.998
"4051",0.412,0.588
"4052",0.068,0.932
"4053",0.08,0.92
"4054",0.768,0.232
"4055",0.866,0.134
"4056",0.42,0.58
"4057",0.032,0.968
"4058",0.728,0.272
"4059",0.09,0.91
"4060",0.53,0.47
"4061",0.014,0.986
"4062",0.074,0.926
"4063",0.096,0.904
"4064",0.12,0.88
"4065",0.002,0.998
"4066",0.87,0.13
"4067",0.512,0.488
"4068",0.206,0.794
"4069",0.002,0.998
"4070",0.042,0.958
"4071",0.792,0.208
"4072",0.116,0.884
"4073",0.002,0.998
"4074",0.022,0.978
"4075",0.656,0.344
"4076",0.104,0.896
"4077",0.014,0.986
"4078",0.646,0.354
"4079",0.07,0.93
"4080",0.434,0.566
"4081",0.63,0.37
"4082",0.278,0.722
"4083",0.08,0.92
"4084",0.118,0.882
"4085",0.03,0.97
"4086",0.02,0.98
"4087",0.062,0.938
"4088",0.3,0.7
"4089",0.024,0.976
"4090",0.582,0.418
"4091",0.082,0.918
"4092",0.376,0.624
"4093",0.212,0.788
"4094",0.01,0.99
"4095",0,1
"4096",0.038,0.962
"4097",0.848,0.152
"4098",0.024,0.976
"4099",0,1
"4100",0.23,0.77
"4101",0.044,0.956
"4102",0.312,0.688
"4103",0.078,0.922
"4104",0.048,0.952
"4105",0,1
"4106",0.02,0.98
"4107",0,1
"4108",0.692,0.308
"4109",0.66,0.34
"4110",0.046,0.954
"4111",0.012,0.988
"4112",0.038,0.962
"4113",0.028,0.972
"4114",0.084,0.916
"4115",0.27,0.73
"4116",0.39,0.61
"4117",0.248,0.752
"4118",0.33,0.67
"4119",0.008,0.992
"4120",0.566,0.434
"4121",0.228,0.772
"4122",0.022,0.978
"4123",0.032,0.968
"4124",0.06,0.94
"4125",0.414,0.586
"4126",0.448,0.552
"4127",0.006,0.994
"4128",0.024,0.976
"4129",0.002,0.998
"4130",0.008,0.992
"4131",0.02,0.98
"4132",0.114,0.886
"4133",0.552,0.448
"4134",0.072,0.928
"4135",0.464,0.536
"4136",0.048,0.952
"4137",0.234,0.766
"4138",0.002,0.998
"4139",0.04,0.96
"4140",0.008,0.992
"4141",0.088,0.912
"4142",0.44,0.56
"4143",0.066,0.934
"4144",0.422,0.578
"4145",0.4,0.6
"4146",0,1
"4147",0.734,0.266
"4148",0.044,0.956
"4149",0.68,0.32
"4150",0.51,0.49
"4151",0.054,0.946
"4152",0.016,0.984
"4153",0.03,0.97
"4154",0.62,0.38
"4155",0.448,0.552
"4156",0.296,0.704
"4157",0.404,0.596
"4158",0.124,0.876
"4159",0.094,0.906
"4160",0.47,0.53
"4161",0.064,0.936
"4162",0.048,0.952
"4163",0.15,0.85
"4164",0.546,0.454
"4165",0.052,0.948
"4166",0.096,0.904
"4167",0.038,0.962
"4168",0.216,0.784
"4169",0,1
"4170",0.61,0.39
"4171",0.238,0.762
"4172",0.002,0.998
"4173",0.022,0.978
"4174",0.43,0.57
"4175",0.678,0.322
"4176",0.556,0.444
"4177",0.452,0.548
"4178",0.004,0.996
"4179",0.144,0.856
"4180",0.116,0.884
"4181",0.092,0.908
"4182",0.334,0.666
"4183",0,1
"4184",0.696,0.304
"4185",0.334,0.666
"4186",0.052,0.948
"4187",0.188,0.812
"4188",0.624,0.376
"4189",0.072,0.928
"4190",0.068,0.932
"4191",0.176,0.824
"4192",0.212,0.788
"4193",0.242,0.758
"4194",0.642,0.358
"4195",0.012,0.988
"4196",0.03,0.97
"4197",0.398,0.602
"4198",0.168,0.832
"4199",0.004,0.996
"4200",0.306,0.694
"4201",0.136,0.864
"4202",0.106,0.894
"4203",0.13,0.87
"4204",0.682,0.318
"4205",0.096,0.904
"4206",0.092,0.908
"4207",0.002,0.998
"4208",0.078,0.922
"4209",0.098,0.902
"4210",0.056,0.944
"4211",0.212,0.788
"4212",0.138,0.862
"4213",0.686,0.314
"4214",0.194,0.806
"4215",0.002,0.998
"4216",0.308,0.692
"4217",0.502,0.498
"4218",0.012,0.988
"4219",0.346,0.654
"4220",0.04,0.96
"4221",0.41,0.59
"4222",0.198,0.802
"4223",0.052,0.948
"4224",0.008,0.992
"4225",0.012,0.988
"4226",0.374,0.626
"4227",0.172,0.828
"4228",0.532,0.468
"4229",0.774,0.226
"4230",0.018,0.982
"4231",0.186,0.814
"4232",0.002,0.998
"4233",0.06,0.94
"4234",0.054,0.946
"4235",0.014,0.986
"4236",0.196,0.804
"4237",0.622,0.378
"4238",0,1
"4239",0.62,0.38
"4240",0.018,0.982
"4241",0.12,0.88
"4242",0.104,0.896
"4243",0.65,0.35
"4244",0.036,0.964
"4245",0.05,0.95
"4246",0.028,0.972
"4247",0.144,0.856
"4248",0.046,0.954
"4249",0.138,0.862
"4250",0.028,0.972
"4251",0,1
"4252",0.146,0.854
"4253",0.298,0.702
"4254",0.032,0.968
"4255",0.026,0.974
"4256",0.014,0.986
"4257",0.016,0.984
"4258",0.032,0.968
"4259",0.486,0.514
"4260",0.878,0.122
"4261",0.288,0.712
"4262",0.014,0.986
"4263",0.06,0.94
"4264",0.438,0.562
"4265",0.15,0.85
"4266",0.044,0.956
"4267",0.01,0.99
"4268",0.726,0.274
"4269",0.82,0.18
"4270",0.468,0.532
"4271",0.07,0.93
"4272",0.038,0.962
"4273",0.616,0.384
"4274",0.042,0.958
"4275",0.022,0.978
"4276",0.138,0.862
"4277",0.828,0.172
"4278",0.74,0.26
"4279",0.048,0.952
"4280",0,1
"4281",0.442,0.558
"4282",0.122,0.878
"4283",0.04,0.96
"4284",0.044,0.956
"4285",0.028,0.972
"4286",0.052,0.948
"4287",0.126,0.874
"4288",0.612,0.388
"4289",0.022,0.978
"4290",0.078,0.922
"4291",0.072,0.928
"4292",0.084,0.916
"4293",0.102,0.898
"4294",0.01,0.99
"4295",0,1
"4296",0.008,0.992
"4297",0,1
"4298",0.158,0.842
"4299",0.002,0.998
"4300",0,1
"4301",0.37,0.63
"4302",0.226,0.774
"4303",0.234,0.766
"4304",0.022,0.978
"4305",0.236,0.764
"4306",0.004,0.996
"4307",0.67,0.33
"4308",0.704,0.296
"4309",0.138,0.862
"4310",0.64,0.36
"4311",0.148,0.852
"4312",0.036,0.964
"4313",0.018,0.982
"4314",0.002,0.998
"4315",0.026,0.974
"4316",0.752,0.248
"4317",0.006,0.994
"4318",0.252,0.748
"4319",0.188,0.812
"4320",0.012,0.988
"4321",0.202,0.798
"4322",0.806,0.194
"4323",0.066,0.934
"4324",0.122,0.878
"4325",0.04,0.96
"4326",0.004,0.996
"4327",0,1
"4328",0.294,0.706
"4329",0.046,0.954
"4330",0.544,0.456
"4331",0.272,0.728
"4332",0.018,0.982
"4333",0.136,0.864
"4334",0.118,0.882
"4335",0.058,0.942
"4336",0.004,0.996
"4337",0,1
"4338",0.046,0.954
"4339",0.016,0.984
"4340",0.822,0.178
"4341",0.04,0.96
"4342",0,1
"4343",0.202,0.798
"4344",0.012,0.988
"4345",0.092,0.908
"4346",0.38,0.62
"4347",0.264,0.736
"4348",0.092,0.908
"4349",0.448,0.552
"4350",0.342,0.658
"4351",0.678,0.322
"4352",0.15,0.85
"4353",0.038,0.962
"4354",0.872,0.128
"4355",0.034,0.966
"4356",0.094,0.906
"4357",0.494,0.506
"4358",0.03,0.97
"4359",0.082,0.918
"4360",0.404,0.596
"4361",0.404,0.596
"4362",0.002,0.998
"4363",0.048,0.952
"4364",0.822,0.178
"4365",0.28,0.72
"4366",0.06,0.94
"4367",0.032,0.968
"4368",0.422,0.578
"4369",0.062,0.938
"4370",0.076,0.924
"4371",0.022,0.978
"4372",0.09,0.91
"4373",0.072,0.928
"4374",0.682,0.318
"4375",0.034,0.966
"4376",0.098,0.902
"4377",0.092,0.908
"4378",0.004,0.996
"4379",0.604,0.396
"4380",0.052,0.948
"4381",0.028,0.972
"4382",0.044,0.956
"4383",0.018,0.982
"4384",0.636,0.364
"4385",0.542,0.458
"4386",0.416,0.584
"4387",0.022,0.978
"4388",0.798,0.202
"4389",0.334,0.666
"4390",0.096,0.904
"4391",0,1
"4392",0.186,0.814
"4393",0.284,0.716
"4394",0.006,0.994
"4395",0.084,0.916
"4396",0.032,0.968
"4397",0.022,0.978
"4398",0.746,0.254
"4399",0.242,0.758
"4400",0.086,0.914
"4401",0.168,0.832
"4402",0.866,0.134
"4403",0.012,0.988
"4404",0.134,0.866
"4405",0.03,0.97
"4406",0.364,0.636
"4407",0.02,0.98
"4408",0.132,0.868
"4409",0.08,0.92
"4410",0.072,0.928
"4411",0.316,0.684
"4412",0.41,0.59
"4413",0.406,0.594
"4414",0.67,0.33
"4415",0.052,0.948
"4416",0.224,0.776
"4417",0,1
"4418",0.092,0.908
"4419",0.004,0.996
"4420",0.018,0.982
"4421",0.05,0.95
"4422",0.29,0.71
"4423",0.012,0.988
"4424",0.458,0.542
"4425",0.02,0.98
"4426",0.502,0.498
"4427",0.012,0.988
"4428",0.12,0.88
"4429",0.906,0.094
"4430",0.066,0.934
"4431",0.89,0.11
"4432",0.114,0.886
"4433",0.124,0.876
"4434",0.058,0.942
"4435",0.042,0.958
"4436",0.666,0.334
"4437",0.234,0.766
"4438",0.04,0.96
"4439",0.006,0.994
"4440",0.182,0.818
"4441",0.486,0.514
"4442",0.032,0.968
"4443",0.034,0.966
"4444",0.36,0.64
"4445",0.588,0.412
"4446",0.02,0.98
"4447",0.128,0.872
"4448",0.014,0.986
"4449",0.026,0.974
"4450",0.084,0.916
"4451",0.04,0.96
"4452",0.624,0.376
"4453",0,1
"4454",0.02,0.98
"4455",0.404,0.596
"4456",0.394,0.606
"4457",0.004,0.996
"4458",0.334,0.666
"4459",0.322,0.678
"4460",0.564,0.436
"4461",0.726,0.274
"4462",0.104,0.896
"4463",0.026,0.974
"4464",0.114,0.886
"4465",0.608,0.392
"4466",0.01,0.99
"4467",0.142,0.858
"4468",0.066,0.934
"4469",0.794,0.206
"4470",0.054,0.946
"4471",0.63,0.37
"4472",0.094,0.906
"4473",0.004,0.996
"4474",0.018,0.982
"4475",0,1
"4476",0.072,0.928
"4477",0.142,0.858
"4478",0.116,0.884
"4479",0.104,0.896
"4480",0.212,0.788
"4481",0.028,0.972
"4482",0.162,0.838
"4483",0.08,0.92
"4484",0.348,0.652
"4485",0.048,0.952
"4486",0.006,0.994
"4487",0.828,0.172
"4488",0.082,0.918
"4489",0.03,0.97
"4490",0.87,0.13
"4491",0.02,0.98
"4492",0.12,0.88
"4493",0.516,0.484
"4494",0.34,0.66
"4495",0.044,0.956
"4496",0.2,0.8
"4497",0.24,0.76
"4498",0.06,0.94
"4499",0.06,0.94
"4500",0.002,0.998
"4501",0.126,0.874
"4502",0.044,0.956
"4503",0.036,0.964
"4504",0.554,0.446
"4505",0.02,0.98
"4506",0.01,0.99
"4507",0.142,0.858
"4508",0.528,0.472
"4509",0.496,0.504
"4510",0.01,0.99
"4511",0.812,0.188
"4512",0.002,0.998
"4513",0.22,0.78
"4514",0.02,0.98
"4515",0.154,0.846
"4516",0.672,0.328
"4517",0.004,0.996
"4518",0.03,0.97
"4519",0.04,0.96
"4520",0.02,0.98
"4521",0.22,0.78
"4522",0.028,0.972
"4523",0.256,0.744
"4524",0.842,0.158
"4525",0.562,0.438
"4526",0.084,0.916
"4527",0.78,0.22
"4528",0.266,0.734
"4529",0.094,0.906
"4530",0.032,0.968
"4531",0.044,0.956
"4532",0.312,0.688
